point_id,location_id,point_name,point_type,latitude,longitude,is_active
HN_CENTER,HN,Trung tâm Hà Nội,urban_center,21.0285,105.8542,True
HN_HA_DONG,HN,Hà Đông,regional_center,20.9712,105.7788,True
HN_SON_TAY,HN,Sơn Tây,regional_center,21.1382,105.5049,True
CB_CENTER,CB,Trung tâm Cao Bằng,urban_center,22.6666,106.257,True
CB_BAN_GIOC,CB,Khu vực Bản Giốc,regional_center,22.8536,106.7229,True
CB_BAO_LAC,CB,Bảo Lạc,regional_center,22.95,105.68,True
TQ_CENTER,TQ,Trung tâm Tuyên Quang,urban_center,21.8236,105.214,True
TQ_HA_GIANG,TQ,Hà Giang,regional_center,22.8233,104.9836,True
TQ_CHIEM_HOA,TQ,Chiêm Hóa,regional_center,22.145,105.272,True
DB_CENTER,DB,Điện Biên Phủ,urban_center,21.386,103.023,True
DB_MUONG_LAY,DB,Mường Lay,regional_center,22.035,103.123,True
DB_TUAN_GIAO,DB,Tuần Giáo,regional_center,21.594,103.421,True
LCH_CENTER,LCH,Trung tâm Lai Châu,urban_center,22.3964,103.4582,True
LCH_TAM_DUONG,LCH,Tam Đường,regional_center,22.36,103.628,True
LCH_THAN_UYEN,LCH,Than Uyên,regional_center,21.954,103.881,True
SL_CENTER,SL,Trung tâm Sơn La,urban_center,21.327,103.914,True
SL_MOC_CHAU,SL,Mộc Châu,regional_center,20.851,104.626,True
SL_MAI_SON,SL,Mai Sơn,regional_center,21.158,103.973,True
LCA_LAO_CAI,LCA,Lào Cai,urban_center,22.4809,103.9755,True
LCA_YEN_BAI,LCA,Yên Bái,regional_center,21.7168,104.8986,True
LCA_SA_PA,LCA,Sa Pa,regional_center,22.3364,103.8438,True
TN_CENTER,TN,Trung tâm Thái Nguyên,urban_center,21.5942,105.8482,True
TN_BAC_KAN,TN,Bắc Kạn,regional_center,22.147,105.8348,True
TN_SONG_CONG,TN,Sông Công,regional_center,21.4866,105.826,True
LS_CENTER,LS,Trung tâm Lạng Sơn,urban_center,21.8537,106.7615,True
LS_DONG_DANG,LS,Đồng Đăng,regional_center,21.9465,106.698,True
LS_HUU_LUNG,LS,Hữu Lũng,regional_center,21.505,106.345,True
QN_HA_LONG,QN,Hạ Long,urban_center,20.95,107.0667,True
QN_CAM_PHA,QN,Cẩm Phả,regional_center,21.0064,107.2925,True
QN_UONG_BI,QN,Uông Bí,regional_center,21.034,106.764,True
BN_CENTER,BN,Trung tâm Bắc Ninh,urban_center,21.1861,106.0763,True
BN_BAC_GIANG,BN,Bắc Giang,regional_center,21.2731,106.1946,True
BN_TU_SON,BN,Từ Sơn,regional_center,21.1188,105.9597,True
PT_VIET_TRI,PT,Việt Trì,urban_center,21.3227,105.4019,True
PT_VINH_YEN,PT,Vĩnh Yên,regional_center,21.3089,105.6049,True
PT_HOA_BINH,PT,Hòa Bình,regional_center,20.8172,105.3376,True
HP_CENTER,HP,Trung tâm Hải Phòng,urban_center,20.8449,106.6881,True
HP_HAI_DUONG,HP,Hải Dương,regional_center,20.9373,106.3146,True
HP_CHI_LINH,HP,Chí Linh,regional_center,21.1379,106.3965,True
HY_CENTER,HY,Trung tâm Hưng Yên,urban_center,20.6464,106.0511,True
